timestamp,temperature,acc_x,acc_y,acc_z,machine_status
2025-04-10 13:41:03,34.38,0.43,-7.73,-6.2,0
2025-04-10 13:41:04,34.38,0.39,-7.77,-6.2,0
2025-04-10 13:41:04,34.38,0.39,-7.73,-6.16,0
2025-04-10 13:41:05,34.38,0.43,-7.69,-6.16,0
2025-04-10 13:41:05,34.38,0.39,-7.77,-6.12,0
2025-04-10 13:41:06,34.38,0.47,-7.85,-6.12,0
2025-04-10 13:41:06,34.38,0.31,-7.85,-6.04,0
2025-04-10 13:41:07,34.38,0.27,-7.81,-6.08,0
2025-04-10 13:41:07,34.38,0.24,-7.81,-6.04,0
2025-04-10 13:41:08,34.38,0.27,-7.85,-6.08,0
2025-04-10 13:41:09,34.38,0.47,-7.88,-5.84,0
2025-04-10 13:41:09,34.38,1.1,-7.45,-5.84,0
2025-04-10 13:41:10,34.38,0.59,-7.57,-6.0,0
2025-04-10 13:41:10,34.38,1.1,-7.1,-5.84,0
2025-04-10 13:41:11,34.38,0.67,-6.75,-6.35,0
2025-04-10 13:41:11,34.38,0.04,-7.49,-6.0,0
2025-04-10 13:41:12,34.38,0.94,-7.37,-6.16,0
2025-04-10 13:41:12,34.31,0.63,-8.36,-5.77,0
2025-04-10 13:41:13,34.31,0.27,-7.81,-6.08,0
2025-04-10 13:41:14,34.31,0.27,-7.81,-6.08,0
2025-04-10 13:41:14,34.31,0.31,-7.85,-6.12,0
2025-04-10 13:41:15,34.31,0.31,-7.88,-6.08,0
2025-04-10 13:41:15,34.31,0.27,-7.77,-6.12,0
2025-04-10 13:41:16,34.38,0.35,-7.81,-6.12,0
2025-04-10 13:41:16,34.38,0.31,-7.77,-6.12,0
2025-04-10 13:41:17,34.31,0.35,-7.85,-6.12,0
2025-04-10 13:41:17,34.31,0.35,-7.77,-6.08,0
2025-04-10 13:41:18,34.31,0.35,-7.81,-6.12,0
2025-04-10 13:41:18,34.31,0.35,-7.81,-6.12,0
2025-04-10 13:41:19,34.31,0.31,-7.85,-6.04,0
2025-04-10 13:41:20,34.31,0.35,-7.85,-6.04,0
2025-04-10 13:41:20,34.31,0.35,-7.81,-6.12,0
2025-04-10 13:41:21,34.31,0.31,-7.77,-6.08,0
2025-04-10 13:41:21,34.31,0.35,-7.85,-6.08,0
2025-04-10 13:41:22,34.31,0.31,-7.81,-6.12,0
2025-04-10 13:41:22,34.31,0.24,-7.88,-6.12,0
2025-04-10 13:41:23,34.31,0.31,-7.77,-6.08,0
2025-04-10 13:41:23,34.31,0.31,-7.85,-6.12,0
2025-04-10 13:41:24,34.31,0.24,-7.85,-6.16,0
2025-04-10 13:41:25,34.31,0.31,-7.77,-6.12,0
2025-04-10 13:41:25,34.31,0.31,-7.92,-6.08,0
2025-04-10 13:41:26,34.31,0.39,-7.85,-6.12,0
2025-04-10 13:41:26,34.31,0.27,-7.85,-6.12,0
2025-04-10 13:41:27,34.31,0.35,-7.77,-6.16,0
2025-04-10 13:41:27,34.31,0.31,-7.81,-6.16,0
2025-04-10 13:41:28,34.31,0.24,-7.85,-6.08,0
2025-04-10 13:41:28,34.31,0.08,-7.77,-6.12,0
2025-04-10 13:41:29,34.31,0.78,-7.92,-5.96,0
2025-04-10 13:41:30,34.31,0.08,-7.85,-6.12,0
2025-04-10 13:41:30,34.31,0.31,-7.77,-6.12,0
2025-04-10 13:41:31,34.31,0.35,-7.88,-6.08,0
2025-04-10 13:41:31,34.31,0.35,-7.81,-6.16,0
2025-04-10 13:41:32,34.31,0.39,-7.81,-6.12,0
2025-04-10 13:41:32,34.31,0.31,-7.77,-6.08,0
2025-04-10 13:41:33,34.31,0.27,-7.88,-6.08,0
2025-04-10 13:41:33,34.31,0.31,-7.81,-6.16,0
2025-04-10 13:41:34,34.31,0.35,-7.81,-6.08,0
2025-04-10 13:41:35,34.31,0.27,-7.77,-6.12,0
2025-04-10 13:41:35,34.31,0.35,-7.81,-6.08,0
2025-04-10 13:41:36,34.25,0.82,-6.79,-6.63,0
2025-04-10 13:41:36,34.25,0.47,-7.73,-5.92,0
2025-04-10 13:41:37,34.25,0.71,-7.61,-6.0,0
2025-04-10 13:41:37,34.25,-0.04,-7.49,-5.61,0
2025-04-10 13:41:38,34.25,0.39,-8.36,-6.2,0
2025-04-10 13:41:38,34.25,0.16,-7.85,-6.16,0
2025-04-10 13:41:39,34.25,-0.08,-7.49,-6.2,0
2025-04-10 13:41:39,34.25,-0.16,-7.34,-6.24,0
2025-04-10 13:41:40,34.25,0.51,-8.04,-6.2,0
2025-04-10 13:41:41,34.25,0.35,-8.47,-6.55,0
2025-04-10 13:41:41,34.25,0.08,-7.61,-6.43,0
2025-04-10 13:41:42,34.25,0.9,-7.81,-5.88,0
2025-04-10 13:41:42,34.25,0.0,-8.0,-5.18,0
2025-04-10 13:41:43,34.25,0.16,-8.36,-7.3,0
2025-04-10 13:41:43,34.25,0.35,-8.43,-6.47,0
2025-04-10 13:41:44,34.25,0.39,-7.65,-6.24,0
2025-04-10 13:41:44,34.19,0.39,-7.61,-6.35,0
2025-04-10 13:41:45,34.19,0.24,-8.0,-6.35,0
2025-04-10 13:41:46,34.25,0.31,-7.85,-6.12,0
2025-04-10 13:41:46,34.25,0.47,-7.69,-6.24,0
